Equity Holding,Shares,Market Value,Country
Friends Life Group Ltd,3561000,28000000,United Kingdom
Frontier Communications Corp,3903000,35000000,United States
Frontier Real Estate Investment Corp,1000,6000000,Japan
Fubon Financial Holding Co Ltd,16576000,38000000,Taiwan
Fugro NV Depositary Receipt,132000,4000000,Netherlands
Fuji Electric Co Ltd,3515000,21000000,Japan
Fuji Heavy Industries Ltd,1596000,67000000,Japan
Fuji Media Holdings Inc,302000,5000000,Japan
Fujitsu Ltd,3738000,32000000,Japan
Fukuoka Financial Group Inc,1907000,12000000,Japan
Furukawa Electric Co Ltd,6604000,14000000,Japan
GD Power Development Co Ltd,4239000,4000000,China
GF Securities Co Ltd,1514000,9000000,China
GLP J-Reit,5000,7000000,Japan
GNC Holdings Inc,168000,10000000,United States
GOME Electrical Appliances Holding Ltd,10867000,2000000,China
GPT Group/The,1883000,8000000,Australia
GS Engineering & Construction Corp,130000,4000000,South Korea
GS Yuasa Corp,909000,5000000,Japan
GT Capital Holdings Inc,130000,5000000,Philippines
Gamuda Bhd,3086000,5000000,Malaysia
Gap Inc/The,41000,2000000,United States
Garmin Ltd,562000,34000000,United States
Gartner Inc,79000,8000000,United States
Gas Natural SDG SA,273000,8000000,Spain
GasLog Ltd,55000,1000000,Greece
Gazit-Globe Ltd,197000,3000000,Israel
Gazprom Neft OAO Depositary Receipt,78000,1000000,Russia
Gazprom OAO Depositary Receipt,10980000,66000000,Russia
Geberit AG,205000,97000000,Switzerland
Geely Automobile Holdings Ltd,5929000,4000000,China
Gemdale Corp,2081000,5000000,China
General Dynamics Corp,237000,41000000,United States
General Electric Co,1587000,50000000,United States
General Growth Properties Inc,1284000,48000000,United States
General Mills Inc,592000,42000000,United States
Genting Bhd,4297000,13000000,Malaysia
Genting Malaysia Bhd,5566000,8000000,Malaysia
Genting Plantations Bhd,428000,1000000,Malaysia
Genuine Parts Co,43000,5000000,United States
Gerdau SA Depositary Receipt,1393000,6000000,Brazil
Getac Technology Corp,1500000,1000000,Taiwan
Getin Noble Bank SA,2092000,1000000,Poland
Getinge AB,38000,1000000,Sweden
Giant Manufacturing Co Ltd,490000,6000000,Taiwan
Gigasolar Materials Corp,48000,1000000,Taiwan
Gilead Sciences Inc,833000,103000000,United States
Glanbia PLC,318000,7000000,Ireland
GlaxoSmithKline PLC,898000,26000000,United Kingdom
Glencore PLC,989000,5000000,United Kingdom
Global Logistic Properties Ltd,5380000,13000000,Singapore
Global Mediacom Tbk PT,11637000,2000000,Indonesia
Globe Telecom Inc,51000,3000000,Philippines
Glow Energy PCL,743000,2000000,Thailand
GoerTek Inc,351000,2000000,China
Golar LNG Ltd,121000,5000000,Norway
Gold Fields Ltd,1274000,7000000,South Africa
Golden Agri-Resources Ltd,18393000,7000000,Singapore
Goldman Sachs Group Inc/The,792000,189000000,United States
Goldsun Development & Construction Co Ltd,3110000,1000000,Taiwan
Goodman Group,1663000,10000000,Australia
Goodman Property Trust,2085000,2000000,New Zealand
Google Inc A,527000,370000000,United States
Google Inc C,463000,321000000,United States
Grana y Montero SAA Depositary Receipt,134000,1000000,Peru
Great Eastern Holdings Ltd,127000,3000000,Singapore
Great Plains Energy Inc,500000,17000000,United States
Great Wall Motor Co Ltd,474000,4000000,China
Gree Electric Appliances Inc of Zhuhai,1151000,10000000,China
Gree Inc,789000,7000000,Japan
Grifols SA,142000,8000000,Spain
Grifols SA Preference,209000,9000000,Spain
Groupe Bruxelles Lambert SA,83000,9000000,Belgium
Growthpoint Properties Ltd,3379000,10000000,South Africa
Grupa Azoty SA,74000,2000000,Poland
Grupo BTG Pactual,192000,2000000,Brazil
Grupo Bimbo SAB de CV,2129000,8000000,Mexico
Grupo Carso SAB de CV,791000,4000000,Mexico
Grupo Elektra SAB DE CV,126000,4000000,Mexico
Grupo Financiero Banorte SAB de CV,5314000,39000000,Mexico
Grupo Financiero Inbursa SAB de CV,4204000,13000000,Mexico
Grupo Financiero Santander Mexico SAB de CV,3020000,8000000,Mexico
Grupo Lala SAB de CV,793000,2000000,Mexico
Grupo Mexico SAB de CV,7300000,27000000,Mexico
Grupo Nutresa SA,394000,4000000,Colombia
Grupo Sanborns SAB de CV,662000,1000000,Mexico
Grupo Televisa SAB,4142000,35000000,Mexico
Guangdong Investment Ltd,3920000,7000000,China
Guanghui Energy Co Ltd,1591000,3000000,China
Guangzhou Automobile Group Co Ltd,964000,1000000,China
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd A,255000,2000000,China
Guangzhou R&F Properties Co Ltd,1455000,2000000,China
Gudang Garam Tbk PT,792000,4000000,Indonesia
Guinness Anchor Bhd,352000,2000000,Malaysia
GungHo Online Entertainment Inc,1763000,9000000,Japan
Gunma Bank Ltd/The,1036000,9000000,Japan
GuocoLand Ltd,600000,1000000,Singapore
H Lundbeck A/S,86000,2000000,Denmark
H2O Retailing Corp,195000,5000000,Japan
HAP Seng Consolidated Bhd,1056000,2000000,Malaysia
HCA Holdings Inc,445000,42000000,United States
HCP Inc,928000,51000000,United States
HD Supply Holdings Inc,40000,2000000,United States
HDFC Bank Ltd,356000,7000000,India
HKBN Ltd,172382000,271000000,Hong Kong
HKT Trust & HKT Ltd,5370000,9000000,Hong Kong
HSBC Holdings PLC,9900000,107000000,United Kingdom
HTC Corp,1301000,7000000,Taiwan
Hachijuni Bank Ltd/The,1497000,13000000,Japan
Haci Omer Sabanci Holding AS,1765000,8000000,Turkey
Haitian International Holdings Ltd,439000,1000000,China
Haitong Securities Co Ltd A,4228000,20000000,China
Haitong Securities Co Ltd H,700000,2000000,China
Hakuhodo DY Holdings Inc,612000,8000000,Japan
Halcon Resources Corp,49964000,97000000,United States
Halcon Resources Corp Preference,40000,15000000,United States
Halla Visteon Climate Control Corp,26000,1000000,South Korea
Halliburton Co,884000,49000000,United States
Hammerson PLC,1268000,16000000,United Kingdom
Hana Financial Group Inc,678000,22000000,South Korea
Hanergy Thin Film Power Group Ltd,12604000,14000000,China
Hanesbrands Inc,44000,2000000,United States
Hang Lung Group Ltd,1723000,10000000,Hong Kong
Hang Lung Properties Ltd,2703000,10000000,Hong Kong
Hang Seng Bank Ltd,1265000,29000000,Hong Kong
Hangzhou Hikvision Digital Technology Co Ltd,656000,4000000,China
Hankook Tire Worldwide Co Ltd,46000,1000000,South Korea
Hankyu Hanshin Holdings Inc,5579000,44000000,Japan
HannStar Display Corp,5115000,1000000,Taiwan
Hanwha Life Insurance Co Ltd,519000,4000000,South Korea
Harbin Bank Co Ltd,4463000,2000000,China
Harbin Electric Co Ltd,1990000,2000000,China
Harley-Davidson Inc,72000,6000000,United States
Harman International Industries Inc,125000,21000000,United States
Harris Corp,96000,10000000,United States
Hartalega Holdings Bhd,697000,2000000,Malaysia
Hartford Financial Services Group Inc/The,593000,31000000,United States
Hasbro Inc,62000,5000000,United States
Health Care REIT Inc,694000,68000000,United States
Health Net Inc/CA,231000,18000000,United States
Heineken Holding NV,181000,16000000,Netherlands
Heineken NV,515000,50000000,Netherlands
Hellenic Telecommunications Organization SA,443000,5000000,Greece
Helmerich & Payne Inc,81000,7000000,United States
Henan Shuanghui Investment & Development Co Ltd,317000,2000000,China
Henderson Land Development Co Ltd,2307000,21000000,Hong Kong
Hengan International Group Co Ltd,314000,5000000,China
Henkel AG & Co KGaA,198000,26000000,Germany
Henkel AG & Co KGaA Preference,443000,66000000,Germany
Hennes & Mauritz AB,529000,27000000,Sweden
Henry Schein Inc,12000,2000000,United States
Hermes International,19000,9000000,France
Hermes Microvision Inc,74000,5000000,Taiwan
Hess Corp,229000,20000000,United States
Hewlett-Packard Co,3356000,132000000,United States
Highwealth Construction Corp,1729000,5000000,Taiwan
Hikari Tsushin Inc,31000,3000000,Japan
Himax Technologies Inc Depositary Receipt,209000,2000000,Taiwan
Hino Motors Ltd,871000,16000000,Japan
Hiroshima Bank Ltd/The,1783000,12000000,Japan
Hisamitsu Pharmaceutical Co Inc,171000,9000000,Japan
Hitachi Capital Corp,253000,7000000,Japan
Hitachi Chemical Co Ltd,1057000,29000000,Japan
Hitachi Construction Machinery Co Ltd,1040000,23000000,Japan
Hitachi High-Technologies Corp,89000,3000000,Japan
Hitachi Ltd,10834000,94000000,Japan
Hitachi Metals Ltd,815000,16000000,Japan
Hite Jinro Co Ltd,56000,1000000,South Korea
Hiwin Technologies Corp,174000,2000000,Taiwan
Hokuhoku Financial Group Inc,5238000,15000000,Japan
Hokuriku Electric Power Co,247000,4000000,Japan
HollyFrontier Corp,152000,8000000,United States
Home Product Center PCL,6261000,2000000,Thailand
HomeAway Inc,33000,1000000,United States
Hon Hai Precision Industry Co Ltd,25343000,94000000,Taiwan
Honda Motor Co Ltd,3581000,148000000,Japan
Honeywell International Inc,159000,21000000,United States
Hong Kong Exchanges and Clearing Ltd,2023000,63000000,Hong Kong
Hong Leong Bank Bhd,708000,3000000,Malaysia
Hong Leong Financial Group Bhd,445000,3000000,Malaysia
Hongkong Land Holdings Ltd,2574000,25000000,Hong Kong
Hopewell Holdings Ltd,668000,3000000,Hong Kong
Hormel Foods Corp,70000,5000000,United States
Hoshizaki Electric Co Ltd,131000,11000000,Japan
Hospira Inc,94000,10000000,United States
Host Hotels & Resorts Inc,1457000,37000000,United States
Hotai Motor Co Ltd,630000,12000000,Taiwan
Housing Development Finance Corp Ltd,360000,10000000,India
Hoya Corp,1145000,58000000,Japan
Hua Nan Financial Holdings Co Ltd,10109000,7000000,Taiwan
Huabao International Holdings Ltd,1962000,2000000,China
Huadian Power International Corp Ltd,1131000,1000000,China
Huaku Development Co Ltd,502000,1000000,Taiwan
Huaneng Power International Inc A,1735000,3000000,China
Huaneng Power International Inc H,3636000,5000000,China
Huaxia Bank Co Ltd,1871000,5000000,China
Hudson City Bancorp Inc,976000,13000000,United States
Huishang Bank Corp Ltd,9849000,6000000,China
Hulic Co Ltd,110000,2000000,Japan
Humana Inc,476000,107000000,United States
Hundsun Technologies Inc,259000,6000000,China
Huntington Bancshares Inc/OH,1154000,16000000,United States
Huntington Ingalls Industries Inc,7000,1000000,United States
Huntsman Corp,216000,6000000,United States
Husqvarna AB,1729000,16000000,Sweden
Hutchison Port Holdings Trust,15862000,14000000,Singapore
Hutchison Whampoa Ltd,3760000,66000000,Hong Kong
Hyosung Corp,36000,4000000,South Korea
Hypermarcas SA,588000,5000000,Brazil
Hysan Development Co Ltd,1155000,6000000,Hong Kong
Hyundai Development Co-Engineering & Construction,120000,8000000,South Korea
Hyundai Engineering & Construction Co Ltd,179000,10000000,South Korea
Hyundai Glovis Co Ltd,39000,10000000,South Korea
Hyundai Heavy Industries Co Ltd,72000,10000000,South Korea
Hyundai Hysco Co Ltd,16000,1000000,South Korea
Hyundai Marine & Fire Insurance Co Ltd,203000,6000000,South Korea
Hyundai Merchant Marine Co Ltd,125000,1000000,South Korea
Hyundai Rotem Co Ltd,67000,1000000,South Korea
Hyundai Steel Co,150000,12000000,South Korea
ICON PLC,104000,9000000,Ireland
IDEX Corp,109000,11000000,United States
IDEXX Laboratories Inc,69000,14000000,United States
IGB Real Estate Investment Trust,2696000,1000000,Malaysia
IHH Healthcare Bhd,4181000,9000000,Malaysia
IHI Corp,1834000,11000000,Japan
IJM Corp Bhd,1913000,5000000,Malaysia
ILI Technology Corp,744000,2000000,Taiwan
IMI PLC,395000,9000000,United Kingdom
IMMOFINANZ AG,3614000,13000000,Austria
IMS Health Holdings Inc,67005000,2297000000,United States
ING Bank Slaski SA,59000,3000000,Poland
ING Groep NV Depositary Receipt,5763000,107000000,Netherlands
IOI Corp Bhd,5076000,8000000,Malaysia
IOI Properties Group Bhd,2832000,2000000,Malaysia
IRPC PCL,10377000,2000000,Thailand
ITOCHU Corp,4285000,59000000,Japan
ITT Corp,358000,18000000,United States
ITV PLC,1914000,9000000,United Kingdom
Iberdrola SA,2654000,22000000,Spain
Ibiden Co Ltd,300000,6000000,Japan
Idemitsu Kosan Co Ltd,402000,9000000,Japan
Iflytek Co Ltd,289000,3000000,China
Iida Group Holdings Co Ltd,412000,7000000,Japan
Iliad SA,38000,11000000,France
Illinois Tool Works Inc,145000,18000000,United States
Iluka Resources Ltd,925000,8000000,Australia
Impala Platinum Holdings Ltd,1050000,6000000,South Africa
Imperial Holdings Ltd,355000,7000000,South Africa
Imperial Tobacco Group PLC,757000,42000000,United Kingdom
Impulsora del Desarrollo y El Empleo en America Latina SAB de CV,1409000,4000000,Mexico
Incitec Pivot Ltd,1581000,6000000,Australia
Incyte Corp,778000,90000000,United States
Indo Tambangraya Megah Tbk PT,752000,1000000,Indonesia
Indocement Tunggal Prakarsa Tbk PT,1991000,4000000,Indonesia
Indofood CBP Sukses Makmur Tbk PT,1882000,3000000,Indonesia
Indofood Sukses Makmur Tbk PT,7912000,6000000,Indonesia
Indorama Ventures PCL,2445000,2000000,Thailand
Indorama Ventures PCL Depositary Receipt,1110000,1000000,Thailand
Industrial & Commercial Bank of China Ltd A,8251000,8000000,China
Industrial & Commercial Bank of China Ltd H,58896000,55000000,China
Industrial Bank of Korea,629000,10000000,South Korea
Industrias Penoles SAB de CV,225000,5000000,Mexico
Industrivarden AB A,309000,8000000,Sweden
Industrivarden AB C,1764000,42000000,Sweden
Infineon Technologies AG,318000,5000000,Germany
Infoblox Inc,43000,1000000,United States
Infosys Ltd Depositary Receipt,846000,38000000,India
Infraestructura Energetica Nova SAB de CV,398000,3000000,Mexico
Ingersoll-Rand PLC,262000,23000000,United States
Ingredion Inc,308000,30000000,United States
Inner Mongolia Yili Industrial Group Co Ltd,1348000,8000000,China
Inner Mongolian Baotou Steel Union Co Ltd,4197000,5000000,China
Innolux Corp,22666000,14000000,Taiwan
Inotera Memories Inc,4487000,8000000,Taiwan
Inpex Corp,3085000,43000000,Japan
Insurance Australia Group Ltd,2498000,15000000,Australia
Integrated Device Technology Inc,40000,1000000,United States
Intel Corp,7900000,313000000,United States
InterContinental Hotels Group PLC,931000,46000000,United Kingdom
InterDigital Inc/PA,177000,11000000,United States
Intercept Pharmaceuticals Inc,4000,1000000,United States
Intercontinental Exchange Inc,194000,57000000,United States
International Business Machines Corp,1358000,276000000,United States
International Consolidated Airlines Group SA,546000,6000000,United Kingdom
International Container Terminal Services Inc,1319000,4000000,Philippines
International Flavors & Fragrances Inc,121000,18000000,United States
International Paper Co,949000,67000000,United States
Intesa Sanpaolo SpA,17020000,73000000,Italy
Intesa Sanpaolo SpA RSP,886000,3000000,Italy
Intouch Holdings PCL,1628000,5000000,Thailand
Intouch Holdings PCL Depositary Receipt,945000,3000000,Thailand
Intu Properties PLC,622000,4000000,United Kingdom
Intuit Inc,407000,50000000,United States
Intuitive Surgical Inc,12000,8000000,United States
Inventec Corp,5784000,5000000,Taiwan
Invesco Ltd,823000,41000000,United States
Investec Ltd,492000,5000000,South Africa
Investment AB Kinnevik,544000,23000000,Sweden
Investor AB A,204000,10000000,Sweden
Investor AB B,2015000,102000000,Sweden
Iron Mountain Inc,339000,16000000,United States
Isetan Mitsukoshi Holdings Ltd,155000,3000000,Japan
Israel Chemicals Ltd,1058000,10000000,Israel
Israel Corp Ltd/The,7000,3000000,Israel
Isuzu Motors Ltd,1847000,31000000,Japan
Itau Unibanco Holding SA,437000,6000000,Brazil
Itau Unibanco Holding SA Depositary Receipt,3860000,54000000,Brazil
Itausa - Investimentos Itau SA Preference,5714000,23000000,Brazil
Ito En Ltd,149000,4000000,Japan
Ito En Ltd Preference,66000,1000000,Japan
Itochu Techno-Solutions Corp,42000,1000000,Japan
Iyo Bank Ltd/The,527000,8000000,Japan
J Front Retailing Co Ltd,227000,5000000,Japan
J Sainsbury PLC,2962000,14000000,United Kingdom
JD.com Inc Depositary Receipt,2414000,90000000,China
JDS Uniphase Corp,136000,2000000,United States
JFE Holdings Inc,1381000,39000000,Japan
JG Summit Holdings Inc,5101000,10000000,Philippines
JGC Corp,438000,11000000,Japan
JPMorgan Chase & Co,7323000,562000000,United States
JSR Corp,1486000,33000000,Japan
JTEKT Corp,1437000,28000000,Japan
JUMBO SA,181000,2000000,Greece
JX Holdings Inc,5346000,26000000,Japan
James Hardie Industries PLC Depositary Receipt,418000,6000000,Australia
Japan Airlines Co Ltd,555000,22000000,Japan
Japan Airport Terminal Co Ltd,177000,14000000,Japan
Japan Display Inc,920000,4000000,Japan
Japan Exchange Group Inc,98000,4000000,Japan
Japan Petroleum Exploration Co Ltd,416000,18000000,Japan
Japan Prime Realty Investment Corp,3000,14000000,Japan
Japan Real Estate Investment Corp,0,2000000,Japan
Japan Retail Fund Investment Corp,5000,13000000,Japan
Japan Tobacco Inc,3211000,129000000,Japan
Jardine Cycle & Carriage Ltd,93000,4000000,Singapore
Jardine Matheson Holdings Ltd,494000,40000000,Hong Kong
Jardine Strategic Holdings Ltd,353000,16000000,Hong Kong
Jasa Marga Persero Tbk PT,2878000,2000000,Indonesia
Jiangsu Expressway Co Ltd,2057000,4000000,China
Jiangsu Hengrui Medicine Co Ltd,371000,3000000,China
Jiangsu Kangde Xin Composite Material Co Ltd,331000,3000000,China
Jiangsu Yanghe Brewery Joint-Stock Co Ltd,143000,2000000,China
Jiangxi Copper Co Ltd,3358000,8000000,China
Jilin Aodong Medicine Industry Groups Co Ltd,372000,3000000,China
Johnson & Johnson,1409000,180000000,United States
Jollibee Foods Corp,788000,5000000,Philippines
Jones Lang LaSalle Inc,6000,1000000,United States
Joy Global Inc,43000,2000000,United States
Juniper Networks Inc,1597000,46000000,United States
K's Holdings Corp,237000,10000000,Japan
K+S AG,637000,26000000,Germany
KAR Auction Services Inc,23000,1000000,United States
KB Financial Group Inc,903000,41000000,South Korea
KBC Groep NV,563000,44000000,Belgium
KBR Inc,249000,5000000,United States
KCC Corp,8000,5000000,South Korea
KDDI Corp,4255000,122000000,Japan
KEPCO Plant Service & Engineering Co Ltd,60000,7000000,South Korea
KGHM Polska Miedz SA,261000,10000000,Poland
KLA-Tencor Corp,450000,33000000,United States
KLCCP Stapled Group,908000,2000000,Malaysia
KLX Inc,22000,1000000,United States
KOC Holding AS,1052000,6000000,Turkey
KT Corp,214000,7000000,South Korea
KT&G Corp,226000,23000000,South Korea
KWG Property Holding Ltd,1544000,1000000,China
Kagome Co Ltd,182000,4000000,Japan
Kajima Corp,2584000,15000000,Japan
Kakaku.com Inc,412000,9000000,Japan
Kalbe Farma Tbk PT,32189000,6000000,Indonesia
Kamigumi Co Ltd,1060000,13000000,Japan
Kangmei Pharmaceutical Co Ltd,728000,5000000,China
Kao Corp,1214000,77000000,Japan
Kaset Thai International Sugar Corp PCL,3627000,1000000,Thailand
Kasikornbank PCL,1215000,11000000,Thailand
Kasikornbank PCL Depositary Receipt,1134000,10000000,Thailand
Kawasaki Heavy Industries Ltd,3088000,20000000,Japan
Kawasaki Kisen Kaisha Ltd,3805000,13000000,Japan
Keihan Electric Railway Co Ltd,1372000,11000000,Japan
Keikyu Corp,169000,2000000,Japan
Keisei Electric Railway Co Ltd,1226000,19000000,Japan
Kellogg Co,299000,25000000,United States
Kenda Rubber Industrial Co Ltd,916000,2000000,Taiwan
Keppel Corp Ltd,2361000,20000000,Singapore
Keppel Land Ltd,1437000,6000000,Singapore
Kerry Group PLC,273000,23000000,Ireland
Kerry Properties Ltd,1952000,9000000,Hong Kong
Kesko OYJ B,114000,6000000,Finland
Keurig Green Mountain Inc,206000,29000000,United States
Key Energy Services Inc,2237000,5000000,United States
KeyCorp,1476000,26000000,United States
Keyence Corp,104000,72000000,Japan
Kia Motors Corp,56000,3000000,South Korea
Kikkoman Corp,280000,11000000,Japan
Kimberly-Clark Corp,524000,71000000,United States
Kimberly-Clark de Mexico SAB de CV,3050000,8000000,Mexico
Kimco Realty Corp,821000,28000000,United States
Kinden Corp,349000,6000000,Japan
Kinder Morgan Inc/DE,1723000,92000000,United States
King's Town Bank Co Ltd,2376000,3000000,Taiwan
Kingsoft Corp Ltd,410000,2000000,China
Kinsus Interconnect Technology Corp,650000,3000000,Taiwan
Kintetsu Group Holdings Co Ltd,4377000,20000000,Japan
Kirby Corp,174000,17000000,United States
Kirin Holdings Co Ltd,1447000,24000000,Japan
Kiwi Property Group Ltd,2189000,3000000,New Zealand
Klabin SA,859000,6000000,Brazil
Kobayashi Pharmaceutical Co Ltd,57000,5000000,Japan
Kobe Steel Ltd,14286000,33000000,Japan
Kohl's Corp,59000,6000000,United States
Koito Manufacturing Co Ltd,308000,12000000,Japan
Komatsu Ltd,3488000,87000000,Japan
Komercni banka as,27000,7000000,Czech Republic
Kone OYJ,523000,29000000,Finland
Konica Minolta Inc,2085000,27000000,Japan
Koninklijke Ahold NV,3574000,89000000,Netherlands
Koninklijke KPN NV,4715000,20000000,Netherlands
Korea Aerospace Industries Ltd,30000,2000000,South Korea
Korea Electric Power Corp,38000,2000000,South Korea
Korea Investment Holdings Co Ltd,19000,1000000,South Korea
Korea Zinc Co Ltd,27000,13000000,South Korea
Korean Air Lines Co Ltd,80000,4000000,South Korea
Korean Reinsurance Co,251000,3000000,South Korea
Kose Corp,67000,5000000,Japan
Kotak Mahindra Bank Ltd,35869000,953000000,India
Kraft Foods Group Inc,746000,82000000,United States
Kroger Co/The,771000,75000000,United States
Kroton Educacional SA,2030000,8000000,Brazil
Krung Thai Bank PCL,7097000,6000000,Thailand
Kuala Lumpur Kepong Bhd,756000,6000000,Malaysia
Kubota Corp,2168000,44000000,Japan
Kulim Malaysia BHD,1099000,1000000,Malaysia
Kumba Iron Ore Ltd,120000,2000000,South Africa
Kunlun Energy Co Ltd,2087000,3000000,China
Kuraray Co Ltd,74000,1000000,Japan
Kurita Water Industries Ltd,834000,26000000,Japan
Kweichow Moutai Co Ltd,224000,9000000,China
Kyocera Corp,665000,46000000,Japan
L E Lundbergforetagen AB,53000,3000000,Sweden
L'Oreal SA,506000,118000000,France
L-3 Communications Holdings Inc,245000,39000000,United States
LG Chem Ltd,94000,24000000,South Korea
LG Chem Ltd Preference,11000,2000000,South Korea
LG Corp,227000,16000000,South Korea
LG Display Co Ltd,391000,14000000,South Korea
LG Household & Health Care Ltd,18000,17000000,South Korea
LG Household & Health Care Ltd Preference,3000,1000000,South Korea
LG Innotek Co Ltd,31000,4000000,South Korea
LG International Corp,47000,2000000,South Korea
LG Uplus Corp,244000,3000000,South Korea
LIG Insurance Co Ltd,41000,1000000,South Korea
LPP SA,2000,4000000,Poland
LS Corp,99000,6000000,South Korea
LT Group Inc,5511000,3000000,Philippines
Laboratory Corp of America Holdings,157000,25000000,United States
Lafarge Ciments/Morocco,9000,2000000,Morocco
Lafarge Malaysia Bhd,628000,2000000,Malaysia
Lam Research Corp,462000,41000000,United States
Land & Houses PCL,5584000,2000000,Thailand
Land & Houses PCL Depositary Receipt,2672000,1000000,Thailand
Land Securities Group PLC,1546000,36000000,United Kingdom
Largan Precision Co Ltd,193000,21000000,Taiwan
Latam Airlines Group SA,122000,1000000,Chile
Latam Airlines Group SA Depositary Receipt,572000,6000000,Chile
Lawson Inc,349000,31000000,Japan
Lazard Ltd,18000,1000000,United States
Lear Corp,140000,20000000,United States
Leggett & Platt Inc,516000,30000000,United States
Legrand SA,145000,10000000,France
Leidos Holdings Inc,639000,34000000,United States
Lend Lease Group,566000,9000000,Australia
LendingClub Corp,92000,2000000,United States
Lennox International Inc,168000,24000000,United States
Lenovo Group Ltd,4305000,8000000,China
Leroy Seafood Group ASA,39000,1000000,Norway
Leucadia National Corp,515000,15000000,United States
Level 3 Communications Inc,820000,56000000,United States
Lexmark International Inc,337000,18000000,United States
Liaoning Cheng Da Co Ltd,630000,4000000,China
Liberty Holdings Ltd,174000,3000000,South Africa
Liberty Interactive Corp,387000,14000000,United States
Life Healthcare Group Holdings Ltd,1640000,7000000,South Africa
Lincoln Electric Holdings Inc,200000,17000000,United States
Lincoln National Corp,444000,32000000,United States
LinkedIn Corp,117000,37000000,United States
Lippo Karawaci Tbk PT,28436000,4000000,Indonesia
Liquidity Services Inc,133000,2000000,United States
Lite-On Technology Corp,5046000,8000000,Taiwan
Lloyds Banking Group PLC,19231000,28000000,United Kingdom
Lockheed Martin Corp,126000,32000000,United States
Loews Corp,478000,25000000,United States
Lojas Americanas SA,228000,1000000,Brazil
Lojas Americanas SA Preference,764000,5000000,Brazil
London Stock Exchange Group PLC,142000,7000000,United Kingdom
Lonking Holdings Ltd,6996000,2000000,China
Lorillard Inc,416000,34000000,United States
Lotte Chemical Corp,29000,7000000,South Korea
Lotte Chilsung Beverage Co Ltd,1000,3000000,South Korea
Lotte Confectionery Co Ltd,2000,3000000,South Korea
Lukoil OAO Depositary Receipt,1071000,63000000,Russia
Lung Yen Life Service Corp,605000,2000000,Taiwan
Lupin Ltd,29000,1000000,India
Luye Pharma Group Ltd,986000,2000000,China
Luzhou Laojiao Co Ltd,384000,2000000,China
LyondellBasell Industries NV,1011000,112000000,United States
M Dias Branco SA,84000,3000000,Brazil
M&T Bank Corp,244000,39000000,United States
M1 Ltd/Singapore,716000,3000000,Singapore
M3 Inc,637000,17000000,Japan
MDU Resources Group Inc,82000,2000000,United States
MEIJI Holdings Co Ltd,159000,25000000,Japan
MIN AIK Technology Co Ltd,309000,1000000,Taiwan
MISC Bhd,1812000,5000000,Malaysia
MISUMI Group Inc,212000,11000000,Japan
MK Restaurants Group PCL,461000,1000000,Thailand
MK Restaurants Group PCL Depositary Receipt,507000,1000000,Thailand
MMC Corp Bhd,1307000,1000000,Malaysia
MMC Norilsk Nickel OJSC Depositary Receipt,884000,20000000,Russia
MMI Holdings Ltd/South Africa,1452000,5000000,South Africa
MOL Hungarian Oil & Gas PLC,94000,5000000,Hungary
MS&AD Insurance Group Holdings Inc,960000,34000000,Japan
MTN Group Ltd,2931000,63000000,South Africa
MTR Corp Ltd,1818000,11000000,Hong Kong
Mabuchi Motor Co Ltd,20000,1000000,Japan
Macerich Co/The,281000,30000000,United States
Macquarie Group Ltd,354000,26000000,Australia
Macy's Inc,74000,6000000,United States
Magnit PJSC Depositary Receipt,450000,29000000,Russia
Magnum Bhd,1756000,2000000,Malaysia
Mahindra & Mahindra Ltd,481000,12000000,India
Mainfreight Ltd,138000,2000000,New Zealand
Makalot Industrial Co Ltd,271000,2000000,Taiwan
Makita Corp,236000,16000000,Japan
Malayan Banking Bhd,5313000,17000000,Malaysia
Malaysia Airports Holdings Bhd,1133000,3000000,Malaysia
Malaysia Building Society Bhd,1463000,1000000,Malaysia
Mallinckrodt PLC,10000,2000000,United States
Man Group PLC,1904000,7000000,United Kingdom
Manila Electric Co,431000,3000000,Philippines
ManpowerGroup Inc,41000,4000000,United States
Mapfre SA,523000,2000000,Spain
Mapletree Commercial Trust,2866000,4000000,Singapore
Mapletree Greater China Commercial Trust,4000000,4000000,Singapore
Mapletree Logistics Trust,1703000,2000000,Singapore
Marathon Oil Corp,1459000,48000000,United States
Marathon Petroleum Corp,305000,40000000,United States
Marine Harvest ASA,990000,14000000,Norway
Markel Corp,28000,28000000,United States
Markit Ltd,10420000,355000000,United Kingdom
Marks & Spencer Group PLC,146000,1000000,United Kingdom
Maroc Telecom,272000,5000000,Morocco
Marsh & McLennan Cos Inc,1076000,76000000,United States
Martin Marietta Materials Inc,178000,32000000,United States
Marubeni Corp,2536000,19000000,Japan
Marui Group Co Ltd,99000,1000000,Japan
Marvell Technology Group Ltd,1705000,32000000,United States
MasTec Inc,282000,7000000,United States
Masco Corp,325000,11000000,United States
Massmart Holdings Ltd,205000,3000000,South Africa
MasterCard Inc,2820000,309000000,United States
Matahari Department Store Tbk PT,1846000,4000000,Indonesia
Maxim Integrated Products Inc,202000,9000000,United States
Maxis Bhd,2940000,7000000,Malaysia
Mazda Motor Corp,1657000,43000000,Japan
McDonald's Holdings Co Japan Ltd,129000,4000000,Japan
McGraw Hill Financial Inc,534000,70000000,United States
McKesson Corp,69000,20000000,United States
